,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure Dedicated HSM,"['https://docs.microsoft.com/en-us/azure/dedicated-hsm/overview', 'https://docs.microsoft.com/en-us/azure/key-vault/managed-hsm/']",0,,0,T1552,Unsecured Credentials,,['Credentials']
1,Azure Dedicated HSM,"['https://docs.microsoft.com/en-us/azure/dedicated-hsm/overview', 'https://docs.microsoft.com/en-us/azure/key-vault/managed-hsm/']",1,,1,T1588,Obtain Capabilities,,['Credentials']
2,Azure Dedicated HSM,"['https://docs.microsoft.com/en-us/azure/dedicated-hsm/overview', 'https://docs.microsoft.com/en-us/azure/key-vault/managed-hsm/']",2,,2,T1553,Subvert Trust Controls,,['Credentials']
