,score-category,score-value,related-score,tags,attack-object-key
0,Detect,Significant,False,"['Azure Defender', 'Azure Security Center Recommendation']",0
1,Detect,Minimal,True,"['Azure Defender', 'Azure Security Center Recommendation']",1
2,Detect,Partial,False,"['Azure Defender', 'Azure Security Center Recommendation']",2
3,Respond,Partial,False,"['Azure Defender', 'Azure Security Center Recommendation']",3
4,Detect,Partial,False,"['Azure Defender', 'Azure Security Center Recommendation']",4
5,Respond,Partial,False,"['Azure Defender', 'Azure Security Center Recommendation']",5
6,Detect,Partial,False,"['Azure Defender', 'Azure Security Center Recommendation']",6
7,Detect,Minimal,False,"['Azure Defender', 'Azure Security Center Recommendation']",7
