,score-category,score-value,related-score,tags,attack-object-key
0,Protect,Partial,True,['Azure Security Center Recommendation'],0
1,Protect,Significant,False,['Azure Security Center Recommendation'],1
2,Detect,Significant,False,['Azure Security Center Recommendation'],2
3,Protect,Partial,False,['Azure Security Center Recommendation'],3
4,Detect,Partial,False,['Azure Security Center Recommendation'],4
5,Protect,Minimal,True,['Azure Security Center Recommendation'],5
6,Detect,Minimal,True,['Azure Security Center Recommendation'],6
