,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],0,,0,T1087,Account Discovery,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
1,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],1,,1,T1078,Valid Accounts,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
2,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],2,,2,T1136,Create Account,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
3,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],3,,3,T1098,Account Manipulation,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
4,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],4,,4,T1578,Modify Cloud Compute Infrastructure,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
5,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],5,,5,T1580,Cloud Infrastructure Discovery,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
6,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],6,,6,T1538,Cloud Service Dashboard,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
7,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],7,,7,T1530,Data from Cloud Storage Object,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
8,Role Based Access Control,['https://docs.microsoft.com/en-us/azure/role-based-access-control/overview'],8,,8,T1528,Steal Application Access Token,,"['Azure Active Directory', 'Azure Security Center Recommendation', 'Identity']"
