,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure VPN Gateway,['https://docs.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways'],0,,0,T1040,Network Sniffing,,['Network']
1,Azure VPN Gateway,['https://docs.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways'],1,,1,T1557,Man-in-the-Middle,,['Network']
2,Azure VPN Gateway,['https://docs.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways'],2,,2,T1565,Data Manipulation,,['Network']
