,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
22,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",22,,22,T1027,Obfuscated Files or Information,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
23,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",23,,23,T1218,Signed Binary Proxy Execution,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
24,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",24,,24,T1110,Brute Force,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
25,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",25,,25,T1003,OS Credential Dumping,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
26,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",26,,26,T1558,Steal or Forge Kerberos Tickets,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
27,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",27,,27,T1087,Account Discovery,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
28,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",28,,28,T1082,System Information Discovery,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
29,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",29,,29,T1563,Remote Service Session Hijacking,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
30,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",30,,30,T1105,Ingress Tool Transfer,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
31,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",31,,31,T1048,Exfiltration Over Alternative Protocol,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
32,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",32,,32,T1489,Service Stop,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
33,Alerts for Windows Machines,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",33,,33,T1202,Indirect Command Execution,,"['Azure Defender', 'Azure Defender for Servers', 'Windows']"
