,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Alerts for DNS,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-dns-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-dns']",0,,0,T1568,Dynamic Resolution,,"['Network', 'DNS']"
1,Alerts for DNS,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-dns-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-dns']",1,,1,T1071,Application Layer Protocol,,"['Network', 'DNS']"
2,Alerts for DNS,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-dns-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-dns']",2,,2,T1572,Protocol Tunneling,,"['Network', 'DNS']"
3,Alerts for DNS,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-dns-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-dns']",3,,3,T1090,Proxy,,"['Network', 'DNS']"
4,Alerts for DNS,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-dns-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-dns']",4,,4,T1048,Exfiltration Over Alternative Protocol,,"['Network', 'DNS']"
