,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Conditional Access,['https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/overview'],0,,0,T1110,Brute Force,,"['Azure Active Directory', 'Identity', 'MFA']"
1,Conditional Access,['https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/overview'],1,,1,T1078,Valid Accounts,,"['Azure Active Directory', 'Identity', 'MFA']"
2,Conditional Access,['https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/overview'],2,,2,T1074,Data Staged,,"['Azure Active Directory', 'Identity', 'MFA']"
3,Conditional Access,['https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/overview'],3,,3,T1530,Data from Cloud Storage Object,,"['Azure Active Directory', 'Identity', 'MFA']"
4,Conditional Access,['https://docs.microsoft.com/en-us/azure/active-directory/conditional-access/overview'],4,,4,T1213,Data from Information Repositories,,"['Azure Active Directory', 'Identity', 'MFA']"
