,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Azure Defender for Storage,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",0,,0,T1530,Data from Cloud Storage Object,,"['Azure Defender', 'Azure Security Center Recommendation']"
1,Azure Defender for Storage,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",1,,1,T1078,Valid Accounts,,"['Azure Defender', 'Azure Security Center Recommendation']"
2,Azure Defender for Storage,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",2,,2,T1105,Ingress Tool Transfer,,"['Azure Defender', 'Azure Security Center Recommendation']"
3,Azure Defender for Storage,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",3,,3,T1105,Ingress Tool Transfer,,"['Azure Defender', 'Azure Security Center Recommendation']"
4,Azure Defender for Storage,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",4,,4,T1080,Taint Shared Content,,"['Azure Defender', 'Azure Security Center Recommendation']"
5,Azure Defender for Storage,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",5,,5,T1080,Taint Shared Content,,"['Azure Defender', 'Azure Security Center Recommendation']"
6,Azure Defender for Storage,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",6,,6,T1537,Transfer Data to Cloud Account,,"['Azure Defender', 'Azure Security Center Recommendation']"
7,Azure Defender for Storage,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-storage-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-azurestorage']",7,,7,T1485,Data Destruction,,"['Azure Defender', 'Azure Security Center Recommendation']"
