,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,AWS CloudHSM,"['https://aws.amazon.com/cloudhsm/', 'https://docs.aws.amazon.com/cloudhsm/latest/userguide/use-cases.html', 'https://docs.aws.amazon.com/cloudhsm/latest/userguide/introduction.html']",0,,0,T1552,Unsecured Credentials,,['Credentials']
1,AWS CloudHSM,"['https://aws.amazon.com/cloudhsm/', 'https://docs.aws.amazon.com/cloudhsm/latest/userguide/use-cases.html', 'https://docs.aws.amazon.com/cloudhsm/latest/userguide/introduction.html']",1,,1,T1588,Obtain Capabilities,,['Credentials']
2,AWS CloudHSM,"['https://aws.amazon.com/cloudhsm/', 'https://docs.aws.amazon.com/cloudhsm/latest/userguide/use-cases.html', 'https://docs.aws.amazon.com/cloudhsm/latest/userguide/introduction.html']",2,,2,T1553,Subvert Trust Controls,,['Credentials']
