,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Secret Manager,['https://cloud.google.com/secret-manager/docs/overview'],0,,0,T1528,Steal Application Access Token,,['Data Security']
1,Secret Manager,['https://cloud.google.com/secret-manager/docs/overview'],1,,1,T1555,Credentials from Password Stores,,['Data Security']
2,Secret Manager,['https://cloud.google.com/secret-manager/docs/overview'],2,,2,T1552,Unsecured Credentials,,['Data Security']
3,Secret Manager,['https://cloud.google.com/secret-manager/docs/overview'],3,,3,T1040,Network Sniffing,,['Data Security']
