,mapping-target,references,metadata-key,mapping-description,key,id,name,comments,tags
0,Endpoint Management,['https://support.google.com/a/answer/1734200?hl=en'],0,,0,T1110,Brute Force,,"['Identity', 'Patch Management']"
1,Endpoint Management,['https://support.google.com/a/answer/1734200?hl=en'],1,,1,T1078,Valid Accounts,,"['Identity', 'Patch Management']"
2,Endpoint Management,['https://support.google.com/a/answer/1734200?hl=en'],2,,2,T1052.001,Exfiltration over USB,,"['Identity', 'Patch Management']"
3,Endpoint Management,['https://support.google.com/a/answer/1734200?hl=en'],3,,3,T1567.002,Exfiltration to Cloud Storage,,"['Identity', 'Patch Management']"
