,mapping-version,attack-version,technology-domain,author,contact,creation-date,last-update,organization,mapping-platform,mapping-platform-version,key
0,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,0
1,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,1
2,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,2
3,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,3
4,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,4
5,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,5
6,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,6
7,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,7
8,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,8
9,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,9
10,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,10
11,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,11
12,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,12
13,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,13
14,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,14
15,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,15
16,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,16
17,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,17
18,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,18
19,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,19
20,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,20
21,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,21
22,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,22
23,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,23
24,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,24
25,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,25
26,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,26
27,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,27
28,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,28
29,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,29
30,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,30
31,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,31
32,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,32
33,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,33
34,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,34
35,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,35
36,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,36
37,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,37
38,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,38
39,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,39
40,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,40
41,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,41
42,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,42
43,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,43
44,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,44
45,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,45
46,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,46
47,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,47
48,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,48
49,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,49
50,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,50
51,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,51
52,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,52
53,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,53
54,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,54
55,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,55
56,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,56
57,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,57
58,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,58
59,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,59
60,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,60
61,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,61
62,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,62
63,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,63
64,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,64
65,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,65
66,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,66
67,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,67
68,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,68
69,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,69
70,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,70
71,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,71
72,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,72
73,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,73
74,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,74
75,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,75
76,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,76
77,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,77
78,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,78
79,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,79
80,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,80
81,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,81
82,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,82
83,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,83
84,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,84
85,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,85
86,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,86
87,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,87
88,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,88
89,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,89
90,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,90
91,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,91
92,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,92
93,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,93
94,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,94
95,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,95
96,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,96
97,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,97
98,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,98
99,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,99
100,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,100
101,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,101
102,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,102
103,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,103
104,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,104
105,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,105
106,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,106
107,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,107
108,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,108
109,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,109
110,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,110
111,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,111
112,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,112
113,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,113
114,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,114
115,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,115
116,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,116
117,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,117
118,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,118
119,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,119
120,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,120
121,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,121
122,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,122
123,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,123
124,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,124
125,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,125
126,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,126
127,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,127
128,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,128
129,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,129
130,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,130
131,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,131
132,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,132
133,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,133
134,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,134
135,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,135
136,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,136
137,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,137
138,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,138
139,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,139
140,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,140
141,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,141
142,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,142
143,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,143
144,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,144
145,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,145
146,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,146
147,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,147
148,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,148
149,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,149
150,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,150
151,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,151
152,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,152
153,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,153
154,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,154
155,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,155
156,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,156
157,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,157
158,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,158
159,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,159
160,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,160
161,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,161
162,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,162
163,2.0,12.1,mobile,,,,,,VERIS Framework,1.3.7,163
